Sample_ID	Exp_level	Cancer_type	Tissue_type
TCGA-FL-A1YT-11A-12R-A32Y-07	4.11100634088235	UCEC	Normal
TCGA-AJ-A23O-01A-11R-A157-07	6.65804929945101	UCEC	Cancer
TCGA-24-1565-01A-01R-1566-13	1.84489377402812	OV	Cancer
TCGA-CV-7421-01A-11R-2081-07	1.49491211347772	HNSC	Cancer
TCGA-ER-A3ES-06A-11R-A20F-07	0.226622722982667	SKCM	Cancer
TCGA-CZ-5457-01A-01R-1503-07	8.8065121044574	KIRC	Cancer
TCGA-A3-A8OX-01A-11R-A37O-07	9.22850269618696	KIRC	Cancer
TCGA-HT-A4DV-01A-11R-A26U-07	0.730984287569015	LGG	Cancer
TCGA-WE-A8ZQ-06A-41R-A37K-07	0.14854634817089	SKCM	Cancer
TCGA-V9-A7HT-01A-11R-A33Z-07	4.35068088161236	KIRP	Cancer
TCGA-R5-A7ZF-01A-11R-A354-31	5.40517402358173	STAD	Cancer
TCGA-ZG-A8QW-01A-11R-A37L-07	1.96531465836558	PRAD	Cancer
TCGA-AS-3777-01A-01R-0864-07	1.595043470266	KIRC	Cancer
TCGA-DD-AADD-01A-11R-A41C-07	2.84991501082154	LIHC	Cancer
TCGA-CG-5720-11A-01R-1602-13	6.40149153319607	STAD	Normal
TCGA-B5-A11N-01A-11R-A118-07	13.6311125774673	UCEC	Cancer
TCGA-46-3769-01A-01R-0980-07	5.65261360267098	LUSC	Cancer
TCGA-BR-8687-01A-11R-2402-13	0.963214386085584	STAD	Cancer
TCGA-AA-A01I-01A-02R-A089-07	1.34289703828562	COAD	Cancer
TCGA-66-2755-01A-01R-0851-07	6.5392431151804	LUSC	Cancer
TCGA-91-6836-11A-01R-1858-07	16.6426319744018	LUAD	Normal
TCGA-AD-6965-01A-11R-1928-07	10.6378484987069	COAD	Cancer
TCGA-CV-7418-01A-11R-2081-07	7.71101340438826	HNSC	Cancer
TCGA-HC-7737-01A-11R-2118-07	2.80165043242835	PRAD	Cancer
TCGA-QU-A6IN-01A-11R-A31N-07	0.543073581335947	PRAD	Cancer
TCGA-D1-A0ZR-01A-21R-A10J-07	0.388989688055904	UCEC	Cancer
TCGA-ZG-A9LB-01A-11R-A41O-07	2.01487574134967	PRAD	Cancer
TCGA-BQ-7051-01A-12R-1965-07	0.623185044522002	KIRP	Cancer
TCGA-CU-A0YR-11A-13R-A10U-07	3.54190676861566	BLCA	Normal
TCGA-HT-7681-01A-11R-2403-07	0.807758478509376	LGG	Cancer
